stock_id,entry_date,entry_price,status,exit_date,exit_price,ret_pct,days_held,peak_price
2207,20260714,480.0,open,,,,12,500.0
2603,20260714,194.5,open,,,,12,200.0
2615,20260715,81.7,open,,,,11,83.6
2376,20260715,344.0,open,,,,11,344.0
2884,20260717,35.1,open,,,,9,36.25
2357,20260721,736.0,open,,,,7,736.0
6669,20260722,5500.0,open,,,,6,5500.0
1326,20260722,70.6,stopped,20260727.0,65.0,-7.93,5,70.6
2317,20260723,257.5,stopped,20260728,238.0,-7.57,5,257.5
2412,20260724,139.0,open,,,,4,141.0
4938,20260724,88.4,open,,,,4,88.4
