stock_id,entry_date,entry_price,status,exit_date,exit_price,ret_pct,days_held,peak_price
2207,20260714,480.0,open,,,,14,551.0
2603,20260714,194.5,open,,,,14,201.5
2615,20260715,81.7,open,,,,13,85.0
2376,20260715,344.0,stopped,20260730,318.5,-7.41,13,344.0
2884,20260717,35.1,open,,,,11,37.7
2357,20260721,736.0,open,,,,9,761.0
6669,20260722,5500.0,stopped,20260730,4900.0,-10.91,8,5500.0
1326,20260722,70.6,stopped,20260727.0,65.0,-7.93,5,70.6
2317,20260723,257.5,stopped,20260728.0,238.0,-7.57,5,257.5
2412,20260724,139.0,open,,,,6,141.0
4938,20260724,88.4,stopped,20260729.0,82.0,-7.24,5,88.4
